05	@} f Ae v
SHAWCROSS	S o: k r O s
SHAWGO	S o: g @}
SHAWHAN	S { w 6 n
SHAWINIGAN	S @ w I n I g @ n
SHAWLER	S o: l @
SHAWLEY	S o: l i:
SHAWL	S o: l
SHAWLS	S o: l z
SHAWMUT	S o: m @ t
SHAWMUT'S	S o: m @ t s
SHAWNA	S o: n @
SHAWNEE	S o: n i:
SHAWN	S o: n
SHAWN'S	S o: n z
SHAWNUT	S o: n @ t
SHAWSHANK	S o: S { N k
SHAW	S o:
SHAW-	S o:
SHAW'S	S o: z
SHAWVER	S o: v @
SHAYKIN	S {I k I n
SHAYKIN'S	S {I k I n z
SHAYNE	S {I n
SHAY	S {I
SHAYS	S {I z
SHAZAM	S { z { m
SHCARED-	S k e d
SHCHARANSKY	S @ r { n d s k i:
SHCHEDRIN	S e d @ r @ n
SHCHERBITSKY	S 3: b I t s k i:
SHEAD	s h e d
SHEAFFER	S i: f @
SHEAF	S i: f
SHEAHAN	S i: @ n
SHEALEY	S i: l i:
SHEALY	S i: l i:
SHEAN	S i: n
SHEARD	S I@ d
SHEARED	S I@ d
SHEARER	S I r @
SHEARING	S I r I N
SHEARIN	S I r @ n
SHEARMAN	S i: @ m @ n
SHEARN	S I@ n
SHEARON	S I r @ n
SHEAROUSE	S I@ 6: U s
SHEAR	S I@
SHEARSON	S I@ s n
SHEARSON'S	S I@ s n z
SHEAR'S	S I@ z
SHEARS	S I@ z
SHEA	S {I
SHEA'S	S {I z
SHEATHBILL	S i: T b I l
SHEATHBILLS	S i: T b I l z
SHEATHED	S i: D d
SHEATHE	S i: D
SHEATHING	S i: D I N
SHEATH-KNIFE	S i: T n 6: I f
SHEATH	S i: T
SHEATS	S i: t s
SHEAVES	S i: v z
SHEBA	S i: b @
SHEBEK	S e b 6 k
SHEBOYGAN	S 6 b oI g @ n
SHECKLER	S e k l @
SHECK	S e k
SHECK'S	S e k s
SHEDDEN	S e d @ n
SHEDDING	S e d I N
SHEDD	S e d
SHEDLOCK	S e d l O k
SHEDRICK	S e d r I k
SHED	S e d
SHE'D	S i: d
SHEDS	S e d z
SHE’D	S t
SHEEDER	S i: d @
SHEEDY	S i: d i:
SHEEHAN	S i: h @ n
SHEEHAN	S i: @ n
SHEEHAN'S	S i: h @ n z
SHEEHAN'S	S i: @ n z
SHEEHY	S
SHEEHY	S i: i:
SHEEK	S i: k
SHEEKS	S i: k s
SHEELAH	S i: l @
SHEELA	S i: l @
SHEELEN	S i: l @ n
SHEELER	S i: l @
SHEELEY	S i: l i:
SHEELY	S i: l i:
SHEENA	S i: n @
SHEEN	S i: n
SHEEN'S	S i: n z
SHEENS	S i: n z
SHEEPISHLY	S i: p I S l i:
SHEEPISH	S i: p I S
SHEEP	S i: p
SHEEPSKIN	S i: p s k @ n
SHEEP'S	S i: p s
SHEEPS	S i: p s
SHEERAN	S I r @ n
SHEERAN'S	S I r @ n z
SHEERER	S i: r @
SHEERIN	S I r @ n
SHEER	S I@
SHEESH	S i: S
SHEESLEY	S i: z l i:
SHEETING	S i: t I N
SHEET	S i: t
SHEETS	S i: t s
SHEETZ	S i: t s
SHEFFER	S e f @
SHEFFEY	S e f i:
SHEFFIELD	S e f i: l d
SHEFFLER	S e f l @
SHEFF	S e f
SHEFTEL	S e f t e l
SHEFTEL'S	S e f t e l z
SHEGOG	S e g O g
SHEHANE	S e h O n
SHEHAN	S e h O n
SHEHORN	S e h 3: n
SHEIKDOM	S i: k d @ m
SHEIKDOMS	S i: k d @ m z
SHEIKH	S i: k
SHEIK	S i: k
SHEIK'S	S i: k s
SHEIKS	S i: k s
SHEILAH	S i: l @
SHEILA	S i: l @
SHEILA'S	S i: l @ z
SHEILDS	S 6: I l d z
SHEIL	S 6: I l
SHEILS	S Ae l z
SHEINBERG	S 6: I n b 3: g
SHEIN	S 6: I n
SHEKEL	S e k @ l
SHEKELS	S e k l z
SHEK	S e k
SHEK'S	S e k s
SHELBURNE	S e l b @ n
SHELBY	S e l b i:
SHELBY'S	S e l b i: z
SHELBYVILLE	S e l b i: v @ l
SHELDAHL	S e l d O l
SHELDEN	S e l d n
SHELDON	S e l d n
SHELEV	S e l I v
SHELEY	S i: l i:
SHELF	S e l f
SHELHAH	S e l h @
SHELHAMER	S e l h 6 m @
SHELIA	S I l i: @
SHELINE	S e l 6: I n
SHELLABARGER	S e l i: b 6: g @
SHELLACKED	S e l { k d
SHELLACKING	S e l { k I N
SHELLACK	S e l { k
SHELLAC	S e l { k
SHELLED	S e l d
SHELLENBARGER	S e l @ n b 6: g @
SHELLENBERGER	S e l @ n b 3: g @
SHELLER	S e l @
SHELLEY	S e l i:
SHELLEY'S	S e l i: z
SHELLFISH	S e l f I S
SHELLHAMMER	S e l h { m @
SHELLHORN	S e l h 3: n
SHELLING	S e l I N
SHELLINGS	S e l I N z
SHELLITO	S {I l @ t @}
SHELLMAN	S e l m @ n
SHELL	S e l
SHELLSHOCKED	S e l S O k t
SHELLSHOCK	S e l S O k
SHE'LL	S i: l
SHE'LL-	S i: l
SHE’LL	S l
SHELL'S	S e l z
SHELLS	S e l z
SHELLY	S e l i:
SHELMAN	S e l m @ n
SHELNUTT	S e l n @ t
SHELOR	S e l @
SHELP	S e l p
SHELSTAD	S e l s t @ d
SHELTERED	S e l t @ d
SHELTERING	S e l t @ r I N
SHELTER	S e l t @
SHELTERS	S e l t @ z
SHELTON	S e l t @ n
SHELTON'S	S e l t n z
SHELVED	S e l v d
SHELVE	S e l v
SHELVES	S e l v z
SHELVING	S e l v I N
SHEMANSKI	S I m { n s k i:
SHEMA	S I m @
SHEMONA	S I m @} n @
SHEMWELL	S e m w e l
SHENANDOAH	S e n t @ n d @} @
SHENANIGAN	S n { n I g @ n
SHENANIGANS	S n { n @ g @ n z
SHENA	S i: n @
SHENBERGER	S e n b 3: g @
SHENEFIELD	S e n t @ f i: l d
SHENEMAN	S i: n m @ n
SHENG-FEN	S e N k f e n
SHENG	S e N
SHENICE	S 6 n i: s
SHENKER	S e N k @
SHENKMAN	S e N k m @ n
SHENK	S e N k
SHEN	S e n
SHENTON	S e n t @ n
SHENYANG	S e n j { N
SHENZHEN	S e n t Z }:
SHEPARD	S e p @ d
SHEPARDSON	S e p 6: d s n
SHEPARD'S	S e p @ d z
SHEPERD	S e p @ d
SHEPHARD	S e p @ d
SHEPHEARD	S e p @ d
SHEPHERDED	S e p @ d @ d
SHEPHERDING	S e p @ d I N
SHEPHERD	S e p @ d
SHEPHERD'S	S e p @ d z
SHEPHERDS	S e p @ d z
SHEPLER	S e p l @
SHEPLEY	S e p l i:
SHEPPARD	S e p @ d
SHEPPARD'S	S e p @ d z
SHEPPARDS	S e p @ d z
SHEPPERD	S e p @ d
SHEPPER	S e p @
SHEPPERSON	S e p @ s n
SHEPP	S e p
SHEPPY	S e p i:
SHEP	S e p
SHERAK	S e r { k
SHERARD	S e r @ d
SHERATON	S e r @ t @ n
SHERATON'S	S e r @ t n z
SHERBERT	S 3: b @ t
SHERBET	S 3: b @ t
SHERBONDY	S 3: b O n d i:
SHERBORNE	S 3: b @ n
SHERBOURNE	S 3: b o: n
SHERBOURN	S 3: b o: n
SHERBURNE	S 3: b @ n
SHERBURN	S 3: b @ n
SHEREE	S @ r i:
SHERER	S I r @
SHERE	S I@
SHERFEY	S @ f i:
SHERFIELD	S @ f i: l d
SHERICK	S e r I k
SHERIDAN	S e r I d n
SHERIFF	S e r @ f
SHERIFF'S	S e r @ f s
SHERIFFS	S e r @ f s
SHERIN	S e r @ n
SHERI	S e r i:
SHERK	S 3: k
SHERLEY	S @ l i:
SHERLIN	S @ l @ n
SHERLOCK	S @ l O k
SHERLOCK'S	S @ l O k s
SHERLUND	S @ l @ n d
SHERMAN	S @ m @ n
SHERMAN'S	S @ m @ n z
SHERMER	S 3: m @
SHERNOFF	S 3: n O f
SHEROD	S e r @ d
SHERRARD	S e r @ d
SHERRELL	S e r @ l
SHERRER	S e r @
SHERRGOLD	S e: g @} l d
SHERRICK	S e r I k
SHERRIE	S e r i:
SHERRIFF	S e r @ f
SHERRILL	S e r I l
SHERRIN	S e r @ n
SHERRI	S e r i:
SHERRI'S	S e r i: z
SHERRIT	S e r @ t
SHERRITT	S e r @ t
SHERROD	S e r @ d
SHERRON	S { r @ n
SHERROW	S { r @}
SHERR	S e
SHERR'S	S e z
SHERRY	S e r i:
SHERRY'S	S e r i: z
SHER	S @
SHERTZER	S 3: t z @
SHERVA	S 3: v @
SHERWIN	S @ w @ n
SHERWOOD'S	S 3: w U d z
SHERWOOD	S @ w U d
SHERYL	S e r @ l
SHESHUNOFF	S e S }: n O f
SHE	S i:
SHE-	S i:
SHE’S	@ n oI I N
SHE'S	S i: z
SHE'S-	S i: z
SHE’S	S s
SHE’S-	S s
SHES'S-	S e s
SHETH	S e T
SHETLAND	S e t l @ n d
SHETLER	S e t l @
SHETLEY	S e t l i:
SHETTERLY	S e t @ l i:
SHETTER	S e t @
SHEVARDNADZE	S e v @ d n O d z i:
SHEVARDNADZE'S	S e v @ d n O d z i: z
SHEVLIN	S e v @ l @ n
SHEVTL	S e v t I l
SHEWARD	S }: @ d
SHEWCHUK	S e tS @ k
SHEWELL	S e I t s
SHEWMAKER	S }: m {I k @
SHEWMAKE	S }: m {I k
SHEW	S }:
SHH	S
SHH	s h h
SHIAH	S i: @
SHIA	S i: @
SHIA-	S i: @
SHIAS	S i: @ z
SHIBANNA	S I b { n @
SHIBATA	S i: b O t @
SHIBBOLETH	S I b @ l e T
SHIBLEY	S I b l i:
SHICK	S I k
SHICOFF	S I k O f
SHIDELER	S I d l @
SHIDLER	S 6: I d @ l @
SHIDLER	S Ae d l @
SHIED	S Ae d
SHIEH	S i:
SHIELA	S 6: I l @
SHIELDED	S i: l d @ d
SHIELDING	S i: l d I N
SHIELD	S i: l d
SHIELD'S	S i: l d z
SHIELDS	S i: l d z
SHIEL	S i: l
SHIELS	S i: l z
SHIER	S Ae @
SHIES	S 6: I z
SHIFFER	S I f @
SHIFFLER	S I f l @
SHIFFLET	S I f l I t
SHIFFLETT	S I f l I t
SHIFFMAN	S I f m @ n
SHIFF	S I f
SHIFLET	S I f l I t
SHIFLETT	S I f l I t
SHIFRIN	S I f @ r @ n
SHIFTED	S I f t @ d
SHIFTER	S I f t @
SHIFTING	S I f t I N
SHIFTLESS	S I f t l @ s
SHIFT	S I f t
SHIFTS	S I f t s
SHIFTY	S I f t i:
SHIGEKI	S I g {I k i:
SHIGEKUNI	S i: g @ k }: n i:
SHIGEO	S I g {I @}
SHIGERU	S I g {I r }:
SHIGLEY	S I g l i:
SHIHAN	S i: h { n
SHIH	S i:
SHIIA	S j @
SHIINA	S i: n @
SHIITE	S i: Ae t
SHIITES	S i: Ae t s
SHILEY	S I l i:
SHILLER	S I l @
SHILLINGBURG	S I l @ n b 3: g
SHILLINGER	S I l @ n dZ @
SHILLINGLAW	S I l I N g l o:
SHILLING	S I l I N
SHILLINGS	S I l I N z
SHILLINGTON	S I l I N t @ n
SHILL	S I l
SHILOH	S 6: I l @}
SHILTS	S I l t s
SHIMABUKURO	S i: m O b @} k }: r @}
SHIMADA	S i: m O d @
SHIMA	S i: m @
SHIMBUN	S I m b @ n
SHIMBUN	S I m b }: n
SHIMEK	S I m I k
SHIMEL	S I m @ l
SHIMER	S Ae m @
SHIMIZU	S I m i: z }:
SHIMKO	S I m k @}
SHIMKUS	S I m k @ s
SHIMMEL	S I m @ l
SHIMMERED	S I m @ d
SHIMMERING	S I m @ r I N
SHIMMERLIK	S I m @ l I k
SHIMMER	S I m @
SHIMMERS	S I m @ z
SHIMMIN	S I m @ n
SHIMMY	S I m i:
SHIMODA	S I m @} d @
SHIMOGA	S I m @} g @
SHIMOKAWA	S I m @} k O }: @
SHIMONE	S i: m @} n
SHIMON	S i: m @ n
SHIMON	S i: m @} n
SHIMP	S I m p
SHIM	S I m
SHINALL	S I n @ l
SHINAULT	S @ n 6: U l t
SHINBEIN	S I n b 6: I n
SHINBONE	S I n b @} n
SHINDIG	S I n d I g
SHINDLEDECKER	S I n d l d I k @
SHINDLER	S I n d l @
SHINDLER'S	S I n d l @ z
SHINDLE	S I n d @ l
SHINDOU	S I n d @}
SHINED	S 6: I n d
SHINER	S 6: I n @
SHINE	S 6: I n
SHINES	S Ae n z
SHINGLEDECKER	S I N g @ l d I k @
SHINGLER	S I N l @
SHINGLE	S I N g @ l
SHINGLES	S I N g l z
SHINGLETON	S I N g @ l t n
SHING	S I N
SHINICHI	S I n tS i:
SHINING	S 6: I n I N
SHINKLE	S I N k @ l
SHINKO	S I N k @}
SHINNERS	S I n @ z
SHINNICK	S I n I k
SHINN	S I n
SHINRIKYO	S I n r @ k j @}
SHINRI	S I n @ r i:
SHINSEI	S I n s {I
SHIN	S I n
SHINSKY	S I n s k i:
SHINTARO	S I n t O r @}
SHINTO	S I n t @}
SHINWA	S I n w @
SHINXIAKU	S I n tS n @} w k }:
SHINY	S 6: I n i:
SHINYUKA	S I n j }: k @
SHIONG	S i: O N
SHIONOGI	S i: @ n @} g i:
SHIPBOARD	S I p b o: d
SHIPBUILDER	S I p b I l d @
SHIPBUILDERS	S I p b I l d @ z
SHIPBUILDING	S I p b I l d I N
SHIPBUILDINGS	S I p b I l d I N z
SHIPE	S 6: I p
SHIPES	S Ae p s
SHIPHOLDING	S I p h @} l d I N
SHIPLETT	S I p l I t
SHIPLEY	S I p l i:
SHIPLOAD	S I p l @} d
SHIPLOADS	S I p l @} d z
SHIPMAN	S I p m @ n
SHIPMATE	S I p m {I t
SHIPMATES	S I p m {I t s
SHIPMENT	S I p m @ n t
SHIPMENTS	S I p m @ n t s
SHIPOWNER	S I p @} n @
SHIPOWNERS	S I p @} n @ z
SHIPPED	S I p t
SHIPPEE	S I p i:
SHIPPER	S I p @
SHIPPER'S	S I p @ z
SHIPPERS	S I p @ z
SHIPPEY	S I p i:
SHIPPINGPORT	S I p I N p o: t
SHIPPING	S I p I N
SHIPP	S I p
SHIPP'S	S I p s
SHIPPS	S I p s
SHIPPY	S I p i:
SHIPSHAPE	S I p S {I p
SHIP	S I p
SHIP'S	S I p s
SHIPS	S I p s
SHIPS'	S I p s
SHIPTON	S I p t @ n
SHIPWASH	S I p w O S
SHIPWRECK	S I p r e k
SHIPWRIGHT	S I p r 6: I t
SHIPWRIGHTS	S I p r Ae t s
SHIPYARD	S I p j 6: d
SHIPYARD'S	S I p j 6: d z
SHIPYARDS	S I p j 6: d z
SHIRAH	S I r @
SHIRAISHI	S I@ @ i: S i:
SHIRA	S I r @
SHIRAZI	S I@ 6: z i:
SHIRELLE	S I r e l
SHIRELL	S I r e l
SHIREMAN	S I r {I m @ n
SHIREMANSTOWN	S Ae @ m @ n t {O n
SHIRER	S 6: I@ r
SHIRE	S Ae @
SHIRES	S Ae @ z
SHIREY	S 6: I r i:
SHIRIN	S I r @ n
SHIRKED	S 3: k t
SHIRKEY	S 3: k i:
SHIRKING	S 3: k I N
SHIRK	S 3: k
SHIRLEEN	S 3: l i: n
SHIRLEE	S @ l i:
SHIRLENE	S 3: l i: n
SHIRLEY	S @ l i:
SHIRLEY'S	S 3: l i: z
SHIRLIE	S @ l i:
SHIRL	S 3: l
SHIROMA	S I r @} m @
SHIRONE	S I r @} n
SHIRRELL	S @ r e l
SHIRR	S @
SHIR	S @
SHIRTED	S 3: t @ d
SHIRTING	S 3: t I N
SHIRT	S 3: t
SHIRTSLEEVE	S 3: t s l i: v
SHIRT'S	S 3: t s
SHIRTS	S 3: t s
SHISEIDO	S I s {I d @}
SHISHIDO	S i: S i: d @}
SHISHKEBAB	S I S k @ b { b
SHI	S i:
SHI-	S i:
SHISLER	S I s @ l @
SHISLER	S @ s l @
SHISSLER	S @ s l @
SHITBOX	S I t b O k s
SHITHEAD	S I t h e d
SHITHOLE	S I t h @} l
SHITILA	S 6 t I l @
SHITLES	S I t l z
SHITLESS	S I t l @ s
SHITLOAD	S I t l @} d
SHIT	S I t
SHIT-	S I t
SHIT'S	S I t s
SHITS	S I t s
SHITSTORM	S I t s t o: m
SHITTIEST	S I t i: @ s t
SHITTING	S I t I N
SHITTY	S I t i:
SHITTY-	S I t i:
SHIU	S }:
SHIVA	S i: v @
SHIVELEY	S I v @ l i:
SHIVELEY	S I v l i:
SHIVELY	S 6: I v l i:
SHIVERDECKER	S I v @ d I k @
SHIVERED	S I v @ d
SHIVERING	S I v @ r I N
SHIVER	S I v @
SHIVERS	S I v @ z
SHIVE	S 6: I v
SHIVES	S Ae v z
SHIVLEY	S I v l i:
SHIYUAN	S i: j }: @ n
SHIZUKA	S @ z }: k @
SHIZUOKA	S i: z w @} k @
SHLAES	S l {I z
SHLENKER	S l e N k @
SHLOBIDAN	S l @} b I d n
SHMOOZER	S m }: z @
SHMOOZE	S m }: z
SHMOOZING	S m }: z I N
SHMYREV	S m I@ r e v
SHOAFF	S @} f
SHOAF	S @} f
SHOALS	S @} l z
SHOBANA	S @} b O n @
SHOBANA'S	S @} b O n @ z
SHOBANNA	S @} b O n @
SHOBANNA'S	S @} b O n @ z
SHOBERG	S @} b 3: g
SHOBER	S @} b @
SHOBERT	S O b @ t
SHOBE	S @} b
SHOCKED	S O k t
SHOCKER	S {I k 3:
SHOCKEY	S O k i:
SHOCKINGLY	S O k @ n l i:
SHOCKING	S O k I N
SHOCKLEY	S O k @ l i:
SHOCK	S O k
SHOCKS	S O k s
SHOCKWAVE	S O k w {I v
SHOCKWAVES	S O k w {I v z
SHODDY	S O d i:
SHOD	S O d
SHOEBOX	S @} b O k s
SHOEHORNED	S }: h o: n d
SHOEHORN	S }: h o: n
SHOELACE	S }: l {I s
SHOELACES	S }: l {I s @ z
SHOEMAKER	S }: m {I k @
SHOEMAKERS	S }: m {I k @ z
SHOEMAKE	S }: m {I k
SHOEMATE	S }: m {I t
SHOEN	S }: n
SHOEPRINT	S }: p r I n t
SHOEPRINTS	S }: p r I n t s
SHOE	S }:
SHOESHINE	S }: S 6: I n
SHOE'S	S }: z
SHOES	S }: z
SHOESTRING	S }: s t r I N
SHOFFNER	S o: f n @
SHOFF	S o: f
SHOFNER	S O f n @
SHOGREN	S O g r e n
SHOGUN	S @} g @ n
SHOHAT	S @} h { t
SHOICHIRO	S @} I tS I r @}
SHOICHI	S @} i: tS i:
SHOJI	S @} dZ i:
SHOKHIN	S @} k @ n
SHOKO	S @} k @}
SHOLAR	S @} l @
SHOLEM	S @} l @ m
SHOLES	S @} l z
SHOLLENBERGER	S O l @ n b 3: g @
SHOLL	S O l
SHOLLY	S O l i:
SHOLTIS	S @} l t @ s
SHOLTO	S @} l t @}
SHOMAKER	S @} m {I k @
SHOMO	S @} m @}
SHONA	S @} n @
SHONE	S @} n
SHONE	S O n
SHONEY	S @} n i:
SHONEY'S	S @} n i: z
SHONKA	S O N k @
SHONK	S O N k
SHONKWILER	S O N k w Ae l @
SHON	S O n
SHONTZ	S 6: n t s
SHOOB	S }: b
SHOOED	S }: d
SHOOFLY	S }: f l Ae
SHOOK	S U k
SHOOPMAN	S }: p m @ n
SHOOP	S }: p
SHOO	S }:
SHOOSHAN	S }: S @ n
SHOOSH	S U S
SHOOTDOWN	S }: t d {O n
SHOOTER'S	S }: t @ z
SHOOTERS	S }: t @ z
SHOOTER	S }: t @
SHOOTINGS	S }: t I N z
SHOOTING	S }: t I N
SHOOTIN'	S }: t n
SHOOTOUTS	S }: t {O t s
SHOOTOUT	S }: t 6: U t
SHOOTS	S }: t s
SHOOT	S }: t
SHOPASSISTANT	S O p @ s I s t @ n t
SHOPE	S @} p
SHOPKEEPER	S O p k i: p @
SHOPKEEPER'S	S O p k i: p @ z
SHOPKEEPERS	S O p k i: p @ z
SHOPKORN	S O p k o: n
SHOPKO	S O p k @}
SHOPLIFTER	S O p l I f t @
SHOPLIFTERS	S O p l I f t @ z
SHOPLIFTING	S O p l I f t I N
SHOPLIFT	S O p l I f t
SHOPLIFTS	S O p l I f t s
SHOPPED	S O p t
SHOPPER	S O p @
SHOPPER'S	S O p @ z
SHOPPERS	S O p @ z
SHOPPERS'	S O p @ z
SHOPPE	S O p
SHOPPES	S O p s
SHOPPING	S O p I N
SHOPPING-	S O p I N
SHOPPING'S	S O p I N z
SHOP	S O p
SHOP-	S O p
SHOP'S	S O p s
SHOPS	S O p s
SHOPSTEWARD	S O p s t j }: @ d
SHOPTAW	S O p t o:
SHOPWELL	S O p I t s
SHOPWORN	S O p w o: n
SHORB	S o: b
SHOREBIRD	S o: b @ d
SHORED	S o: d
SHOREHAM	S o: @ m
SHOREHAM	S o: r @ m
SHORELINE	S o: l 6: I n
SHORENSTEIN	S o: n s t i: n
SHORENSTEIN	S o: r @ n s t Ae n
SHORE	S o:
SHORE'S	S o: z
SHORES	S o: z
SHOREWARD	S o: w @ d
SHOREY	S o: r i:
SHORING	S o: r I N
SHORIN	S o: n
SHORKEY	S o: k i:
SHORN	S o: n
SHORR	S o:
SHOR	S o:
SHORTAGE	S o: t @ dZ
SHORTAGE	S o: t I dZ
SHORTAGES	S o: t @ dZ @ z
SHORTALL	S o: t @ l
SHORTCAKE	S o: t k {I k
SHORTCHANGED	S o: t tS {I n dZ d
SHORTCHANGE	S o: t tS {I n dZ
SHORTCHANGING	S o: t tS {I n dZ I N
SHORTCOMING	S o: t k 6 m I N
SHORTCOMINGS	S o: t k 6 m I N z
SHORTCRUST	S o: t k r @ s t
SHORTCUT	S o: t k 6 t
SHORTCUTS	S o: t k 6 t s
SHORTED	S o: t @ d
SHORTELL	S o: t e l
SHORTENED	S o: t @ n d
SHORTENING	S o: t @ n I N
SHORTENING	S o: t n I N
SHORTEN	S o: t @ n
SHORTENS	S o: t @ n z
SHORTER	S o: t @
SHORTER'S	S o: t @ z
SHORTEST	S o: t @ s t
SHORTFALL	S o: t f o: l
SHORTFALLS	S o: t f o: l z
SHORTGRASS	S o: t g r 6:
SHORTHAIRED	S o: t h e d
SHORTHAIR	S o: t h e
SHORTHAND	S o: t h { n d
SHORTING	S o: t I N
SHORT-LIVED	S o: t l 6: I v d
SHORTLIVED	S o: t l 6: I v d
SHORTLIVED	S o: t l I v d
SHORTLY	S o: t l i:
SHORTNESS	S o: t n @ s
SHORTRIDGE	S o: t r I dZ
SHORTSIGHTEDNESS	S o: t s 6: I t @ d n @ s
SHORT-SIGHTED	S o: t s 6: I t @ d
SHORT-SIGHTED	S o: t s Ae t @ d
SHORTSIGHTED	S o: t s Ae t @ d
SHORT	S o: t
SHORT-	S o: t
SHORTS	S o: t s
SHORTS'	S o: t s
SHORTSTOP	S o: t s t O p
SHORT-TEMPERED	S o: t t e m p @ d
SHORT-TERM	S o: t t 3: m
SHORTTERM	S o: t t 3: m
SHORTT	S o: t
SHORTWAVE	S o: t w {I v
SHORT-WINDED	S o: t w I n d @ d
SHORTY	S o: t i:
SHORTZ	S o: t s
SHORTZ'	S o: t s
SHORTZ'S	S o: t s @ z
SHO-	S @}
SHOSHONE	S @} S @} n i:
SHOSH	S @} S
SHOSTAKOVICH	S o: s t @ k @} v I tS
SHOSTAK	S O s t @ k
SHOTGUN	S O t g 6 n
SHOTGUNS	S O t g 6 n z
SHOT	S O t
SHOTS	S O t s
SHOTTING	S O t I N
SHOTT	S O t
SHOTTS	S O t s
SHOTWELL	S O t w e l
SHOUD'VE	S {O d v
SHOUGANG	S {O g { N
SHOUGH	S {O
SHOULDA	S U d @
SHOULDERED	S @} l d @ d
SHOULDERING	S @} l d @ r I N
SHOULDER	S @} l d @
SHOULDERS	S @} l d @ z
SHOULDERS-	S @} l d @ z
SHOULDN'T	S U d n t
SHOULDN'T-	S U d n t
SHOULDN’T	S U d n t
SHOULDN’T-	S U d n t
SHOULDN’T'VE	S U d n t v
SHOULD	S U d
SHOULD-	S U d
SHOULD'VE	S U d @ v
SHOULD'VE-	S U d @ v
SHOULD’VE	S U d v
SHOULI	S }: l i:
SHOULTS	S @} l t s
SHOULTZ	S @} l t s
SHOUMAKER	S }: m {I k @
SHOUN	S {O n
SHOUPE	S }: p
SHOUP	S }: p
SHOUSE	s h 6: U s
SHOUTED	S {O t @ d
SHOUTING	S {O t I N
SHOUT	S 6: U t
SHOUT	S {O t
SHOUTS	S {O t s
SHOVAL	S @} v { l
SHOVED	S 6 v d
SHOVELED	S 6 v @ l d
SHOVELING	S 6 v l I N
SHOVEL	S 6 v @ l
SHOVELS	S 6 v l z
SHOVER	S 6 v @
SHOVE	S 6 v
SHOVES	S 6 v z
SHOVING	S 6 v I N
SHOVLIN	S O v @ l @ n
SHOWALTER	S @} @ l t @
SHOWA	S @} @
SHOWBIZ	S @} b I z
SHOWBOAT	S @} b @} t
SHOWBOAT'S	S @} b @} t s
SHOWBUZZ	S @} b @ z
SHOWCASED	S @} k {I s t
SHOWCASE	S @} k {I s
SHOWCASES	S @} k {I s @ z
SHOWCASING	S @} k {I s I N
SHOWDOWN	S @} d 6: U n
SHOWDOWNS	S @} d 6: U n z
SHOWED	S @} d
SHOWELL	S O I t s
SHOWERED	S {O @ d
SHOWERING	S {O @ r I N
SHOWER	S 6: U@
SHOWER	S {O @
SHOWERS	S {O @ z
SHOWGIRL	S @} g 3: l
SHOWGIRLS	S @} g 3: l z
SHOWIEST	S @} i: @ s t
SHOWING	S @} I N
SHOWINGS	S @} I N z
SHOWMANSHIP	S @} m @ n S I p
SHOWMAN	S @} m @ n
SHOWN	S @} n
SHOW-OFF	S @} O f
SHOWPIECE	S @} p i: s
SHOWPLACE	S @} p l {I s
SHOWROOM	S @} r }: m
SHOWROOM	S @} r U m
SHOWROOMS	S @} r }: m z
SHOW	S @}
SHOW-	S @}
SHOWSCAN	S @} s k { n
SHOW'S	S @} z
SHOWS	S @} z
SHOWS'	S @} z
SHOWS-	S @} z
SHOWTIME'S	S @} t Ae m z
SHOWTIME	S @} t 6: I m
SHOWY	S @} i:
SHRADER	S r {I d @
SHRAKE	S r {I k
SHRAMEK	S r { m I k
SHRANK	S r { N k
SHRAPNEL	S r { p n l
SHRECK	S @ k
SHREDDED	S r e d @ d
SHREDDER	S r e d @
SHREDDERS	S r e d @ z
SHREDDING	S r e d I N
SHRED	S r e d
SHREDS	S r e d z
SHREEVE	S r i: v
SHREFFLER	S r e f l @
SHREIBER	S r 6: I b @
SHREINER	S r 6: I n @
SHREK	S @ k
SHREVEPORT	S r i: v p o: t
SHREVE	S r i: v
SHREVES	S r i: v z
SHREWDEST	S r }: d @ s t
SHREWDLY	S r }: d l i:
SHREWDNESS	S r }: d n @ s
SHREWD	S r }: d
SHREWSBERRY	S r }: z b r i:
SHREWSBURY	S r }: z b r i:
SHREW	S r }:
SHRIBER	S r 6: I b @
SHRIBMAN	S r I b m @ n
SHRIDER	S r 6: I d @
SHRIEKED	S r i: k t
SHRIEKING	S r i: k I N
SHRIEK	S r i: k
SHRIEKS	S r i: k s
SHRIFT	S r I f t
SHRIKANT	S r i: k O n t
SHRIKELIKE	S r 6: I k l 6: I k
SHRILL	S r I l
SHRIMPER	S r I m p @
SHRIMPERS	S r I m p @ z
SHRIMP	S r I m p
SHRINER	S r 6: I n @
SHRINERS	S r 6: I n @ z
SHRINE	S r 6: I n
SHRINES	S r Ae n z
SHRINKAGE	S r I N k I dZ
SHRINKING	S r I N k I N
SHRINK	S r I N k
SHRINKS	S r I N k s
SHRI	S r i:
SHRIVELED	S r I v @ l d
SHRIVELING	S r I v @ l I N
SHRIVELING	S r I v l I N
SHRIVEL	S r I v @ l
SHRIVER	S r 6: I v @
SHROCK	S r 6: k
SHRODE	S r @} d
SHROFF	S r O f
SHRONTZ	S r O n t s
SHROPSHIRE	S r O p S Ae @
SHROUDED	S r 6: U d @ d
SHROUDING	S r 6: U d I N
SHROUD	S r {O d
SHROUDS	S r {O d z
SHROUT	S r 6: U t
SHROYER	S r o: I@
